s,dc_theory_hz,dc_sim_hz
0.13615384615384613,0.06967470898020113,0.07150719069895047
0.1588461538461538,0.7768695795410199,0.7713418996488696
0.1815384615384615,2.736765114586875,2.583388731657649
0.20423076923076922,4.765102189035641,4.5806424367964675
0.2269230769230769,5.861352902508183,5.5938248953567955
0.24961538461538457,6.26779617189083,5.965332997913476
0.27230769230769225,6.374246207392308,6.0358924879226885
0.295,6.3743093593887705,6.2474543456379354
0.31769230769230766,6.342136023875879,6.500350837703316
0.34038461538461534,6.303765043996705,6.116809907674234
